reviewText,overall,sentiment
"This makes a delicious cake or bunch of cupcakes. It is extremely rich, with pudding mix self-contained. Yes, you add your own egg, but that is OK. Built into the recipe is quite a bit of flexibility for oven temperature and baking time variations. It would be hard not to like the finished product.",5.0,positive
"I ordered 2 rods they were shipped separately one in a sturdy cardboard tube perfect. Second on was shipped in 2 cardboard boxes attached on end to cover the 96"" rod sadly it wasn't sturdy enough and the rod was bent.",1.0,negative
"The best boxed shells and cheese / mac and cheese that I have tried.  Quick, easy and tasty meal!",5.0,positive
Way too spicy for me,2.0,negative
Good taste another winner by Progresso!,5.0,positive
Poor quaility. Would not order again and would definately not recommend them,2.0,negative
ADDICTIVE,5.0,positive
"Cans were distorted during processing on the bottom of the can did not affect product for two out of three cans, but one was bulging. Had to throw that away. So, I found it odd all three cans damaged. Obviously they give you the roughed up cans. Not pleased.",2.0,negative
"THIS IS SUPER NASTY JUST GET ONE OF THE REGULAR FLAVORED CREAMERS. IT TASTES WAY TOO ARTIFICIAL YOU CANT EVEN JUST USE A LITTLE AND GET PAST IT.
ITS. THAT. BAD.
LEARN FROM ME. FRENCH VANILLA OR ORIGINAL IS ALWAYS THE BEST WAY TO GO FOR THE POWDER CREAMS.",1.0,negative
"Ordered 5/16"" DIA but received 3/8"" DIA.  Item is in good condition, but unusable to me.  Not worth having someone turn this to the diameter I need.",1.0,negative
"its just ok, I like the regular chamomile tea instead, much for sleepy and has a better taste",2.0,negative
"I started using the pod-style laundry detergent when I realized that others in my family couldn't manage to appropriately measure out either liquid or powder versions. I tried out these particular Gain pods when the Prime Pantry had a coupon available, making the 72-count a good value for me.

These pods do a great job cleaning a variety of loads, no issues at all with stains and dirt coming out (even with cold water, which I almost exclusively use). I usually remember to follow the instructions and put the pod in the empty drum before adding the dirty clothes, but I have also violated the rules by tossing it on top of the clothes or even after the washer started running. Regardless, the clothes got clean and the pod always dissolved completely.

My only issue is with the scent, which I find cloyingly sweet. I am not even sure how to describe it (""air from a moonlight stroll"" isn't exactly meaningful to me), except to say that it's strong and not ""clean."" I have used the green labeled Gain pods and really like that scent so I will go back to that version.  I usually go for scents that smell like soap---like fresh laundry!---and this one does not. Strictly a personal preference, others may really like the smell of this detergent.",4.0,positive
"This stock tastes so vile, I finally gave up booze, women, men, Pokemon, and Trump.  They welcomed me into the pearly gates with open arms, saying 'what took you so long', cuz I smelled like someone just pulled from the Tiber in the Year of the Four Emperors.",1.0,negative
"It says light sodium, we received it and it was 530 sodium. For someone that has kidney disease we have to watch the sodium. and that is not light at all. so I will donate it.",1.0,negative
"I could not taste the flavor of any of the fruit.  I expected it to be a little tart because of the apricot but it was bland.  Also, the crust was very bland and I did not like the texture.  I will not but again.",1.0,negative
as expected,5.0,positive
YUMMY,5.0,positive
had a funny aftertaste,1.0,negative
Good,4.0,positive
Kind of yuk - even for diet food. Just my opinion though... what do I know....,2.0,negative
"it doesn't smell for that long,  only a minute or so.",2.0,negative
"I have become a fan of these Old El Paso Stand 'N Stuff Taco Shells.

Just like the box says, they easily remain standing up while I load them with my favorite ingredients. I have ordered these multiple times along with other items in my Prime Pantry package. There have been a few times they have been tumbled around in the carton, but the sturdy inner packaging and cardboard inserts have kept my shells from getting broken! Love them.",5.0,positive
He is picky and likes these for lunch.,5.0,positive
Salt makes you so thirsty!,4.0,positive
"I am not sure what to think here.  Many of the reviews are for the ""Chunk Light"" not the ""Solid White Albacore"" which is what I bought- and what I got.  That is the only option available, so I don't know why the verified purchases for light tuna are appearing here.  Additionally, some reviews are for the smaller pop top type cans that come in a multi-pack.  I quit buying chunk light tuna several years ago because of the decline to mushy texture and stronger fishy smell.  Full disclosure, I was buying Starkist, not Chicken of the Sea, but the Starkist chunk light tuna I grew up on had evolved into a product more like cat food than I cared to eat.  My only reason for trying this brand was BECAUSE it is labeled as Solid White Albacore, the price was better than my grocery store, and I had some room in my pantry box so this product popped up as a recommendation.  Had I come to the page and looked at the reviews or the photographs, I would absolutely positively passed on buying it.  The rusty cans shown at the top of the product page are disgusting.  It is not likely I will purchase this again even though the cans I received were fine and I couldn't really tell any difference from my usual brand.",5.0,positive
melt in mouth ones work quicker,2.0,negative
"With my eyesight this thing is useless.  With my old eyes and progressive lenses there is no way to get the scale in focus.  This is simple and seems well made, and I expect kids with good eyesight can see what they need to see for science class.",2.0,negative
Really like it...,4.0,positive
ugh.  I dumped it out.,1.0,negative
Mine were stale,2.0,negative
Can is deceptive. It is tiny folks!,2.0,negative
Tasted watered down. Other brand at warehouse club was much better and good price.,2.0,negative
The filling was too sweet. The outside was nearly tasteless and like gooey cardboard-yuk!,2.0,negative
had to replace the batteries when i received it.. it is noisier yet weaker than the oral B one i replaced. the oral b was over a year old and still running strong...wish now i didn't toss it.,2.0,negative
Couldn't have gotten this anywhere l9ved since  13 real amazing usa,5.0,positive
"First off, I have TWO of these units, the first I'd purchased from Amazon, the second was a replacement sent free by Amazon when I requested a return on the first due to accuracy issues. I also have several vintage weather stations, with USA-made, mechanical hygrometers which I trust to be fairly accurate. Those all read within a few % of each other. I have them in several locations around my house, but wanted a small, unobtrusive temp/humidity gauge for my daughter's room that wouldn't detract from her 'decor'.

To test the first unit I'd received I simply put it in my basement (where the humidity doesn't fluctuate widely unless it's raining) next to wall-mounted weather station for comparison. The 'Accurite' unit ALWAYS READS WAY UNDER the actual room humidity - sometimes as close as 8% under, but usually more, like 12% under.  The second unit I received as replacement acts much like the first, although their readings for humidity always differ from each other, usually they're as close as 2%, but sometimes as much as 6%, and it stays that way for hours (so it's not some sudden change like the furnace coming on that's the problem). I should note their temperature display is pretty close, within 1-2 degrees of actual - close enough to work with,  if only the hygrometer were as accurate.

The reviewer who claimed to have subjected theirs to a test chamber and praised it's resulting accuracy...maybe the hygrometers in these units only work well in a test chamber. I need something to work in my home, and a bogus reading of 39% when the actual humidity is 51% is pathetic.

FYI, while writing this review I found a website that shows up close to the top of googled results for 'hygrometer', 'nwclimate.org', that hosts an article titled '8 Best Digital Hygrometers Suitable for Your Home', with this 'AcuRite' model making the top of the list. Considering their numerous spelling and grammatical errors (even the article's title is awkward), and their (unintentionally lukewarm) recommendation of this unit, describing the hygrometer function as 'good accuracy if you are not interested in the exact percentage; for relative ranges it does a good job', I'd judge these devices to be the cheapest made and hardest-sold imported junk on the web.",1.0,negative
Peanuts were very stale,2.0,negative
SO,4.0,positive
once again a knorr pasta that is DISGUSTING. i have tried like 10 different flavors and they consistently nasty and all have the wrong cooking times. it is always hard. my kids hate this and let me tell you red beans is their FAVORITE food.,1.0,negative
This product is very good,4.0,positive
the first dispenser was empty; and the second didn't had very little stuff in  it.  I sure would like you to replace them; as I didn't get to use them in my toilet.,2.0,negative
"Easy to make. lightly sweet, with a nice corn flavor. Great price through prime pantry.",5.0,positive
"It has a rather strange taste. Not really sure what to describe it as, but I felt thirstier after drinking it. It contains no juice, has calories and some ingredients that I'm not sure what they are. The bottles are flimsy and collapse in on themselves while you are drinking which is annoying. The lid is small and there is a choking hazard listed, so be careful if you give this to your kids. Some of the other Pure Life Splash flavors are good, but the Wild Berry isn't one of them.",2.0,negative
"Item arrived with cracked case. Jack too heavy for flimsy molded plastic case. Threads on release valve  leaking oil , had to tape with hydraulic tape. Cheap price but not the best quality.",2.0,negative
These are a great kid friendly after school snack! Only doing all is they can be messy sometimes!,4.0,positive
My son loves these and will each 2-3 at a time.,4.0,positive
Works for everyday light stains not so much for heavy stains,4.0,positive
I usually love Aussie products but this line made my head itch and break out - so weird,2.0,negative
"These were terrible. I'm not sure if they were just really stale, or if the recipe has changed for the worse. The glaze on the outside of the pie was a weird tan color and hard. The crust was too thick and almost crunchy-hard. The filling was dry, gummy and tasteless. The pies are in little boxes, which can't possibly keep them fresh-why aren't they in sealed bags like they used to be? Disappointing.",1.0,negative
these should be more sour!,4.0,positive
"Great cold weather, heart healthy, anytime of the day, meal.",5.0,positive
Good hearty soup.  Would buy again.,5.0,positive
Rolls were so tiny..way too expensive for what they are. Not impressed,1.0,negative
"Ewwww not tasty! I love lemon desserts, but this was a fail. Stick to the regular or birthday cake oreos.",2.0,negative
Its not reliable  !,2.0,negative
Good for subscribe and save,4.0,positive
"Are the walnuts? Are they diamonds? No, they are cashews",2.0,negative
"All Melted, will not buy again during the summer",1.0,negative
With all the orders I have received from Amazon this is the only item I thought necessary to post a negative review was excited to get these ate them years ago was so dissapointed they had a strange smell to them the crust I guess and as per other review soooo sugery really not good threw them out.,1.0,negative
Not a fan of the flavors!,2.0,negative
Goes well with whiskey,4.0,positive
"for a different brand, other than a name brand, they are really good",5.0,positive
"I have been using HATCHBOX exclusively ever since I got a 3D printer but lately I have been encountering an issue on several of their filament spools. After about half of the spool has been used, there is sometimes a point where the leading filament is looped under the rest of the spool creating a tangle. This has caused failed prints because the filament is no longer feeding through the extruder. This is especially frustrating when I set up a print before I head into work and come home to find the print head moving around in the air because it stopped feeding quite some time ago. This has also created jams in the extruder and it wastes my time having to clear a jam.

However, when it doesn't have this problem, I am real happy with the results. I have given away prints as gifts and made things which I use day to day.

*This review left on HATCHBOX spools where I encountered this issue.",2.0,negative
"The 3 packets with correct amounts of sugar/banana were quite tasty with a light banana flavor and enough nuts for most bites to have a bit of crunch (although the nut flavor didn't come through much).  The other 3 had little to no banana and no sugar at all.  The 3 packets which were not properly proportioned tasted like a cardboard box, even after adding sugar to make them somewhat edible.  50/50 is not good enough so I'll not try this one again.

It's a shame Quaker stopped selling individual boxes of their Bananas and Cream Oatmeal variety long ago.  It's a better tasting product with more banana flavor but having to purchase a variety box containing the Peach and Strawberry flavors to get the Banana and the Blueberry packets becomes tiresome.",2.0,negative
Been eating this since I was a kid. Will probably still be eating it in my old age.,5.0,positive
Good,5.0,positive
"These were given to me, and I am  used to eating the regular awesome Ritz crackers, so these taste horrid",2.0,negative
Better than expected. Low sodium/high potassium. Flavor was excellent!,4.0,positive
nice product but it has an odd scent.,4.0,positive
"Not my favorite La Croix, but for this price I really wish it was.

The Peach-Pear and Tangerine flavors are my favorites and I can only find them for six bucks a twelve pack at a local grocery store.",4.0,positive
Great price taste great with fruits,5.0,positive
Horrible...stale,1.0,negative
These are rather gross. The cookie tasted more like a regular Oreo with a bunch of dye in it and the middle part was bleh. Horrible rendition of Red Velvet snacks.,1.0,negative
Freshed  and tasted well. Shipped on time,5.0,positive
"they picked a close up for the cover because inside you'll find tiny, thin, somewhat crusty pieces of cardboard with a slightly acid taste; no resemblance to graham crackers; dreadful, though the birds will eat it",1.0,negative
"What the heck do I know? Hailey Green, who submitted the idea for Lay's Southern Biscuits and Gravy, will take home a $1 million grand prize or one percent of her winning flavor's net sales through July 15, 2016 (whichever is higher). Although, I cannot imagine the net sales will be the higher figure.

The white gravy-flavored chip tastes first of black pepper and sour cream before the sausage and sage flavoring engages. Instead of a pleasant umami combination, the chip devolves into something akin to pasty, powdery salt. The texture doesnt help. I cant help but wonder if a ridged (ruffled) chip wouldve worked better with this flavor profile, which evokes thoughts of fluffy biscuits rather than greasy potato chips. The seasoning is caked on the flat chips so thick as to render them chewy instead of crisp.

Rating: One star",1.0,negative
I don't care what Alton Brown says.,4.0,positive
Not impressed,1.0,negative
"perfect size for a snack, great flavor, dice size it good.  nice product to have in the cupboards.",5.0,positive
The tape didn't want to go back into the dispenser. It would just come out and unravel. Unusable.,1.0,negative
We have been a fan of Herbal Essences entire line for awhile now.  No residue build up.  Couldn't beat the value.,4.0,positive
"I bought this set of 2 one night when I was really craving Nutella... Turns out this is too much. It's delicious, it's 2 big jars- but if you're like me, it's worth it to just go to the store and get a small jar.
If you're really really into this stuff- go for it. It hasn't expired, and will (probably)last a while.",4.0,positive
"Since being diagnosed as lactose intolerant, I've tried every kind of milk alternate out there. I like almond milk the best. Of the Almond Milk brands, my favorite is Blue Diamond. I prefer the vanilla to the original but the vanilla flavor doesn't work everywhere so I like to keep a carton of original around too.

My favorite way to use this is with Kashi cereal, like&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Kashi-Indigo-Morning-Flakes-With-Dark-Berries-10-3-Ounce/dp/B008C2BV0G/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Kashi Indigo Morning Flakes With Dark Berries 10.3-Ounce</a>. This also makes great smoothies and tastes good in my coffee.

However, the Blue Diamond Almond Milk at the grocery store in the refrigerated section tastes a little better to me than the 32oz packs.",5.0,positive
Way too much chese for my taste.,2.0,negative
I buy these for our emergency and winter supplies. They are easy and fast to make. They have a nice flavor and fluff up nicely.,5.0,positive
"I like Charmin and with this you get what you pay for unlike my other experiences with Cottonelle that are a bit light. However, this is too expensive to buy online. There are plenty of sales and this was a desperate buy when I didn't have the time. I won't do this again unless it proves to be more economical.",2.0,negative
"Worst ever seen or tried to use.  The blade is so tiny and so dull it could never be safe to use.  Perhaps if it had been sharp it could be called a craft knife for limited uses.  High potential to injuring yourself trying to hack through something.  Not worth it, just get a really sharp knife that is safe to use.",1.0,negative
During the winter I bake so much bread. SO much bread. So a 2-pound pouch is both cost-effective and necessary. I pop it into a tall mason jar for safe storage. Good quality yeast!,5.0,positive
"Not horrible, but not good either.
Iv clocked well over 4000 prints on my 5, 3d printers, and this Hatchbox filament is fairly consistent in diameter which is usually the big quality issue, so good there.. but after printing 1 spool of Hatchbox (black) filament i had to strip and clean my hot end to remove an odd buildup of burnt material adhering to the stainless steel filament path and making flow intermittent,.. ~4000 prints under my belt, and I have never seen build up like this before with any other PLA. Was it contaminated, does it have filler, are they blending,. I don't know, all i know is that I did not receive pure PLA.
The other big issue is color,. I ordered red, what i got was labeled red,.. but the color on the spool was most certainly orange. I am a photographer, I know color, so I am not just being picky, this is tangerine at best, and nowhere near as close to red as the re-colored photo shows.
Ultimately I returned the ""red"", and if i had any black on the spool to return I would have returned that also.
Oh, and i didn't even get a form response when i wrote to them asking nicely about the color issue. aka 0 customer service. For that i just knocked off one of the two stars I was going to give due to the diameter tolerances being fairly tight.",1.0,negative
ok,5.0,positive
"I don't care for these at all. It is low grade chocolate around a not very tasty gummy fruit. Maybe it is the texture or combination, but these just don't taste good to me at all. I would rather eat a higher quality chocolate.",2.0,negative
"Hard to find a quality pen light for patient use, and I hoped these would be of decent quality. Only one worked, and yes I tried new batteries.",1.0,negative
"Very good item. Again like other postings of other items, this item was lower cost at Amazon Prime Pantry than at my local store.",4.0,positive
Did not like taste.,1.0,negative
Had to call to replace. Didn't want to eat something that expired almost 4 years ago!,1.0,negative
Delicious!,5.0,positive
"I bought this to fix some small holes in my car seat. This tape is so incredibly reflective that your repair sticks out like a sore thumb. I am going to remove it, try to find something that will improve the look, not make it look worse.",1.0,negative
They are band-aids. That was what I expected.,4.0,positive
I love the convenience of this variety sack but I wish there were more of the sun chips and cool ranch doritos and less cheetos. I never eat the cheetos. But maybe I am just picky. Good price for what you get.,4.0,positive
Good for those lactose intolerant. My daughter drinks it and likes it,5.0,positive
good,4.0,positive
No So Good,2.0,negative
These are the best instant potatoes I have ever bought.,5.0,positive
"A bit sweeter than I would like, but can't complain about the convenience. One of the containers got beat up pretty badly in shipping and I had to transfer it to a canister. Did not loose too much of the mix though.",4.0,positive
"I am sure there is nothing wrong with the product itself but it simply did not meet my expectations.  I expected coconut sugar to have at least a slight taste of coconut and at least a slight sweetness of sugar.  Well, I was wrong on both accounts.  This product has zero sweetness and zero coconut flavor.  It's dark brown in color.  In my opinion, it looks, smells, and taste like very finely ground bitter graham cracker crumbs.  Again, this product is new to me so I assume a more experienced chef would know to expect this.  However, if you are expecting something more like coconut infused sugar, this is not the product for you.",1.0,negative
Love it!,4.0,positive
"Lots of the crackers were burnt. Too
Salty as well.",2.0,negative
"Wee bit salty, but very hearty and filling",4.0,positive
I really liked these. This was a first time purchase so was a little antsy. They are yummy and I will buy again.,5.0,positive
Good taste but I did not like the dull almost brown color.,4.0,positive
Very good but I thought they were a little to thin,4.0,positive
"I've tried all the chili's sold here and I can say this is my favorite.  Bold taste. Great texture. Great chunks of beef.
Could have done with fewer beans.",5.0,positive
"Smashed, do not buy with ANYTHING heavy.  Also very limited expiration date.",1.0,negative
Excellent,5.0,positive
"Very lightly rolled. Looks like a lot of wrapping, but doesn't last long.",2.0,negative
"I've used a lot of L'Oreal products and this has to be at the bottom.  I did nothing for my eyelashes. The brush was not a good shape to cling onto the lashes. I have long lashes, so it doesn't take a whole lot of effort for my mascara. This took forever to try to use and I didn't accomplish a thing. I do not recommend.",1.0,negative
This was a care package,5.0,positive
Taste olds,1.0,negative
Tastes like the processed food that it is.,2.0,negative
tastes worse than bad breath,1.0,negative
"I had  this meter for 2 days and then it just stopped working.  It wasn't dropped, damaged or anything. It took 4 readings and on day three it would not turn on.  I tried everything.  Plenty of better meters out there and I would prefer test strips - at least those work!",1.0,negative
"This is a legitimate, intelligible 1-Star review for this Toilet Paper. It's marketed as dual-textured, double rolls, but the only truth behind that is that, yes, they are double rolls. The issue is they're nowhere near dual-textured. When you rip it off the roll they tear easily in half. You have to focus when you tear a sheet off so that it doesn't rip off at a random location. When you're wiping, it's easy to push your finger through the paper, even when you double over the sheets.  Toilet paper from the dollar store is better than this brand. The only decent takeaway is buying these in bulk saves you some money, but once you realize you now have 12 of these terrible rolls for the next month or two, that instantly become a headache.  Highly recommend you stay away from this brand and look elsewhere.",1.0,negative
"Krave is a cereal with an identity crisis. It's not nearly a grow-up cereal like&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Special-K/dp/B001E6KBJ4/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Special K</a>, but it's not a kids cereal like&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Fruit-Loops/dp/B001AMN3T2/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Fruit Loops</a>. If you're used to eating ""grown-up"" cereal, you will think this is too sweet. But if you are trying to wean your kids (or yourself) off of the cereals with a prize in the box, this may be a good transition. It is sweet, but not overpoweringly so. The chocolate doesn't have a super artificial taste to it, and I've enjoyed this cereal by the handful as a snack as well as by the bowlful in milk.",4.0,positive
just like grandma had,4.0,positive
"I second what another guy said. I've got 300# TOPS, spread evenly across 8 casters - that's less half the rated limit. They were tough to get rolling on day one. They've sat in place a few days and the wheels are visibly compressed/flat now.

Total waste of my time and effort to install them. Negative  value, really. If you need something rated for 25# a wheel, they 'd be ok, but I think that 100# rating must be per set, not wheel. There could just be bad batches out there... but who wants to learn that after they take the effort to build something...",1.0,negative
"This is a great smelling hand soap that smells great, cleans well, and leaves my hands soft and smooth.  I love that it isn't full of nasty chemicals and made with natural essential oils.  We bought this through the Prime Pantry program and I was very impressed with it.",4.0,positive
"I have had several of these toothbrushes both for me and for my husband. The head barely vibrates now and even when you turn it on and put it under water, it doesn't move the water. I tried turning it on and putting it on my hand. It makes noise but doesn't vibrate anymore. I called the company and they said it had turned 2 years old so I'm on my own. I have bought several of these and the vibration to clean my teeth is minimal, very disappointed especailly for the price of these.
dee",2.0,negative
Good stuff,5.0,positive
Good flavor but this single serving size. Do not add water. Therefore pricey!,4.0,positive
"I've always liked Hostess Fruit Pies and hadn't had one is years.  These are NOT what I remember.  They're much smaller (I was sort of expecting that), and the taste is ""right.""  Not sure what the problem is, but these were NOT good.

It was clear that the box had been dropped because every pie was squished on the same end, with the filling oozing out.  They were almost ""greasy,"" too.  Very off-putting texture in the crust.  I ended up tossing the entire box.  Won't be buying these again.",2.0,negative
I hate that I have to leave a bad review but this tasted sour and had an odd aftertaste. I love Tropicana and buy in the stores there is just something wrong with the ones I received. It was delivered on a warm day so maybe that had something to do with it.,1.0,negative
"It tasted good and was quite filling. There was some lack of complexity that is usually found in gumbo but it is a commercial soup so what do you expect. The one star missing is because the sausage is not nitrate free. For me this is an important same as if I have too much nitrates it will make me sick. I imagine having a cup of the soup every once in a great while, when I have a desire for the style of soup and a lack of desire to make it myself.",4.0,positive
The best flavor ever,5.0,positive
"First of all, know this; I always use new batteries when ordering anything that requires them, usually at the same time I place an order, but not necessarily from the same company;

This one failed miserably; I put this one in storage when I received them about 2-months ago but when it came time to put it to good use,the display died shortly after power-up. It did work for a few minutes, but quickly went blank.

Suspecting a display issue, I moved the connection from a known good set-up to the bad display to see if the problem would follow it, and as suspected, it did. Just to verify the connector and it's associated wiring, I moved the sensor cable to a known good display, the combination was successful.

The item I have is now known to be defective but since I already missed Amazon's 30-day return window, it is now hoped this one gets read by the seller for whatever resolutions they may have.

Would I buy another one?, maybe, maybe not; I bought two of them in the past and they still work OK; I suppose it would depend on what happens here; the working ones I have in service seem a bit sensitive to static, but they work none-the-less... so, here's hoping to hear from them.",2.0,negative
"Love instant mashed potatoes, call me crazy but I do.  I like the real thing too but sometimes I just don't have time or energy.  This brand is the best and has many flavor choices.",5.0,positive
this product is just as bad as the company whom makes it. way to not care about your fanbase,1.0,negative
My personal taste...yuck,1.0,negative
"Good stuff, cinnamon and Life Multi-grain cereal, which I hear is better for you. Excellent price, hard to go wrong here.",4.0,positive
Definitely bummed since these came and were almost stale....but I suppose that's what I get for buying taco shells online. I ended up throwing the box out after eating 1/4 of the first shell and remaking my tacos with the tortillas I had.,2.0,negative
good,5.0,positive
"This is not the best epoxy for reef tanks. The glue is very runny and comes off the frag plug while in the water. A few of my fish tried to eat it since it was floating in the water. That was very bad for the fish. Also this epoxy is not very strong, the red leg hermits pop the frags of the rock since the epoxy is not very strong.",2.0,negative
got for back ups tp our back ups,4.0,positive
good,4.0,positive
Tastes like a yoga mat with chocolate chips.,1.0,negative
"Fresh, tasty and good choice. Its an instant delight. Absolutely loved it.",5.0,positive
Good for what I needed.,5.0,positive
Bahamas came with a rip in the bag and half of the peppercorns fell out of the bag!,2.0,negative
"These only are good for one pass..then the dirt they have picked-up is swirled around other parts of the flooor, which makes them worse than useless. Not a good thing for real cleaning, despite the commercials.",1.0,negative
"thought the smell was nice at first, but by the end of the day it smelled really bad. I am a woman, but at the end of the day I felt like I started smelling a little too ""manly"". I wore it 2-3 times before just giving up and throwing it out. I'm disappointed because I have been happy with other ""Tom's"" products. I will be going back to the Apricot version of this, which I like a lot. It's fruity, but it's not too bad. As far as protection goes, just like any other aluminum-free deodorant you can expect to have to re-apply by the end of the day, especially if you are active. However, I've tried a variety of different ones and this one does seem to be the longest-lasting and does the best job. I still find that my armpits get a little wet at times, especially if i have a presentation or something, so I try to switch off days depending on my stress or activity level. Although I definitely noticed that the first week or so was the worst and after that my body started to adjust to not having all of those chemicals blocking my sweat ducts. Now the deodorant works better.",1.0,negative
Smells good.,4.0,positive
"I am giving this one star due to the bottle. I used this once and the rest was worthless within 5 minutes. There is not a proper seal on the top like brands such as Locktite and Krazy glue. I usually buy Locktite glue, but I took a chance on this because of the cheaper price and some of their other products worked for me. The gel itself worked fine the one time I used it, but the whole bottle solidified within 5 minutes. I will continue to buy Locktite super glue simply because you can use it to the last drop.",1.0,negative
Worst water ever.,1.0,negative
Arrived in Pantry Box with two of the packages crushed with apple sauce all over the inside.,1.0,negative
"Turns stools to liquid. I'm a healthy, balanced eater, but a single dose of this gives me the runs for a day. Tried more than once. It's a waste of money, unless you're constipated.",1.0,negative
Like the product except I Did not receive amount in the description and returned,2.0,negative
Junk. Literally have to be on signal generator to set it off.  Junk build.,1.0,negative
"I  remember these in the 80s when they had real cheese that was hard, you would use the stick to cut it into four equal sections (they never gave enough cheese for all the crackers) Now its way worse! the section where the ""cheese"" is got smaller and it's only HALF FULL of I don't know what, but I certainly wouldn't call it cheese, it's nothing like it used to be, it has the consistancy of soft margarine, gross IMO It tastes chemically and it looks fake too, bleck, I still can't get the gross taste out of my mouth. my dog likes it or it would go in the trash (the cheese part)",1.0,negative
bread crumbs what can ya say,5.0,positive
"Barqs is a childhood favorite of mine, so I picked up a 12 pack for old time sake. I don't drink very much soda (maybe a few times per year) so this was a lot of soda for me. Sadly, the High Fructose Corn Syrup kills my enjoyment of this beverage. I'd gladly pay double the price if they'd use real cane sugar (and not that GMO beat sugar either!) instead. Still, even despite the HFCS, Barqs taste pretty good. I don't regret the purchase, because I mostly bought it for nostalgia reasons, but this is definitely the last time I will ever buy a soda with corn syrup in it.",2.0,negative
it was as advertised,4.0,positive
Was looking for the metal kind.,1.0,negative
"Had to buy 5 things for ""free shipping"" at Amazon Prime.  This is one of the yukky Triscuit brands.  I think if I had to get 5 of them, I'd rather pay s/h.",1.0,negative
"Very tasty. However, put a plate under them, for they crumble easily and stick to your carpet.",5.0,positive
"We are just not Pepsi people at our house and there is just one reason, we all think the drink is too sweet. Outside of that Pepsi is a fine product that certainly appeals to a lot of people, just not us. We know lots of people coming to our home, when offered a soft drink will even ask if we have a Pepsi and we have to inform them we do not. Sorry Pepsi---you still have a great product.",4.0,positive
"ouch, leaves a burning sensation",1.0,negative
